"id","Asset","realizedPL","date_closed","date_open","initialUnits","financing","dividendAdjustment","account_var","already_in_db","trade_col","Net_Profit"
"30995","EUR_AUD",0.0091,2025-11-25 15:36:09,2025-11-25 14:34:12,-303,0,0,3,NA,"Short",0.0091
"30999","SPX500_USD",-0.5294,2025-11-25 15:36:06,2025-11-25 14:34:20,-0.1,0,0,3,NA,"Short",-0.5294
"31003","USD_CAD",-0.3187,2025-11-25 15:36:02,2025-11-25 14:34:23,-516,0,0,3,NA,"Short",-0.3187
"31153","USD_SEK",-0.0413,2025-11-25 18:38:21,2025-11-25 16:29:50,-235,0,0,3,NA,"Short",-0.0413
"31157","EUR_AUD",-0.6363,2025-11-25 17:43:07,2025-11-25 16:34:54,-303,0,0,3,NA,"Short",-0.6363
"31161","SPX500_USD",0.2467,2025-11-25 17:43:03,2025-11-25 16:35:01,-0.1,0,0,3,NA,"Short",0.2467
"31165","USD_CAD",-0.0683,2025-11-25 17:43:00,2025-11-25 16:35:04,-516,0,0,3,NA,"Short",-0.0683
"31243","USD_SEK",-0.2815,2025-11-25 19:37:44,2025-11-25 17:31:01,-235,0,0,3,NA,"Short",-0.2815
"31247","EUR_AUD",-0.4909,2025-11-25 18:43:39,2025-11-25 17:35:31,-303,0,0,3,NA,"Short",-0.4909
"31251","SPX500_USD",0.0154,2025-11-25 18:43:35,2025-11-25 17:35:38,-0.1,0,0,3,NA,"Short",0.0154
"31255","USD_CAD",0.1859,2025-11-25 18:43:32,2025-11-25 17:35:42,-516,0,0,3,NA,"Short",0.1859
"31331","FR40_EUR",-3.5878,2025-11-25 19:37:40,2025-11-25 18:30:57,-0.1,0,0,3,NA,"Short",-3.5878
"31335","USD_SEK",-0.3346,2025-11-25 21:13:09,2025-11-25 18:31:02,-235,0,0,3,NA,"Short",-0.3346
"31341","EUR_AUD",-0.1697,2025-11-25 19:42:46,2025-11-25 18:36:04,-303,0,0,3,NA,"Short",-0.1697
"31345","SPX500_USD",-0.5294,2025-11-25 19:42:43,2025-11-25 18:36:11,-0.1,0,0,3,NA,"Short",-0.5294
"31349","USD_CAD",-0.1537,2025-11-25 19:42:39,2025-11-25 18:36:15,-516,0,0,3,NA,"Short",-0.1537
"31425","FR40_EUR",3.3949,2025-11-25 19:49:07,2025-11-25 19:30:21,-0.1,0,0,3,NA,"Short",3.3949
"31429","USD_SEK",0.1329,2025-11-25 21:13:09,2025-11-25 19:30:24,-235,0,0,3,NA,"Short",0.1329
"31435","EUR_AUD",-0.2454,2025-11-25 20:37:30,2025-11-25 19:35:11,-303,0,0,3,NA,"Short",-0.2454
"31439","SPX500_USD",1.5581,2025-11-25 19:55:09,2025-11-25 19:35:19,-0.1,0,0,3,NA,"Short",1.5581
"31443","USD_CAD",-0.0683,2025-11-25 20:37:26,2025-11-25 19:35:22,-516,0,0,3,NA,"Short",-0.0683
"31528","EUR_AUD",-0.0727,2025-11-25 21:12:56,2025-11-25 20:29:58,-303,0,0,3,NA,"Short",-0.0727
"31532","SPX500_USD",-1.0265,2025-11-25 21:13:04,2025-11-25 20:30:06,-0.1,0,0,3,NA,"Short",-1.0265
"31536","USD_CAD",0.2647,2025-11-25 21:13:07,2025-11-25 20:30:09,-516,0,0,3,NA,"Short",0.2647
"33435","WTICO_USD",3.1578,2025-11-17 12:50:02,2025-11-13 12:51:22,2,0.0059,0,1,NA,"Long",3.1637
"35280","XAG_USD",-2.9794,2025-11-20 18:58:34,2025-11-20 15:46:35,5,0,0,1,NA,"Long",-2.9794
"35284","XAG_USD",-2.9792,2025-11-20 18:58:30,2025-11-20 15:46:37,5,0,0,1,NA,"Long",-2.9792
"35288","XAG_USD",-2.9715,2025-11-20 18:58:23,2025-11-20 15:46:39,5,0,0,1,NA,"Long",-2.9715
"35368","XAG_USD",-2.9699,2025-11-20 19:02:12,2025-11-20 16:44:06,5,0,0,1,NA,"Long",-2.9699
"35372","XAG_USD",-2.9676,2025-11-20 19:02:13,2025-11-20 16:44:08,5,0,0,1,NA,"Long",-2.9676
"35376","XAG_USD",-2.9684,2025-11-20 19:02:13,2025-11-20 16:44:10,5,0,0,1,NA,"Long",-2.9684
"35456","XAG_USD",-2.9868,2025-11-20 19:12:14,2025-11-20 17:44:52,5,0,0,1,NA,"Long",-2.9868
"35460","XAG_USD",-2.9814,2025-11-20 19:12:14,2025-11-20 17:44:54,5,0,0,1,NA,"Long",-2.9814
"35464","XAG_USD",-2.9814,2025-11-20 19:12:14,2025-11-20 17:44:56,5,0,0,1,NA,"Long",-2.9814
"35544","XAG_USD",-2.9897,2025-11-20 19:19:39,2025-11-20 18:44:44,5,0,0,1,NA,"Long",-2.9897
"35548","XAG_USD",-2.9773,2025-11-20 19:19:40,2025-11-20 18:44:46,5,0,0,1,NA,"Long",-2.9773
"35552","XAG_USD",-2.9998,2025-11-20 19:19:39,2025-11-20 18:44:48,5,0,0,1,NA,"Long",-2.9998
"35656","XAG_USD",4.2327,2025-11-20 20:12:07,2025-11-20 19:44:09,5,0,0,1,NA,"Long",4.2327
"35660","XAG_USD",2.3487,2025-11-20 19:57:55,2025-11-20 19:44:11,5,0,0,1,NA,"Long",2.3487
"35664","XAG_USD",1.7358,2025-11-20 19:56:40,2025-11-20 19:44:13,5,0,0,1,NA,"Long",1.7358
"35780","XAG_USD",4.1491,2025-11-21 01:50:50,2025-11-20 21:45:06,5,0,0,1,NA,"Long",4.1491
"35784","XAG_USD",2.3516,2025-11-20 23:59:02,2025-11-20 21:45:08,5,0,0,1,NA,"Long",2.3516
"35788","XAG_USD",1.7186,2025-11-20 23:18:56,2025-11-20 21:45:10,5,0,0,1,NA,"Long",1.7186
"35868","XAG_USD",-2.9803,2025-11-21 03:49:30,2025-11-20 22:44:04,5,0,0,1,NA,"Long",-2.9803
"35872","XAG_USD",2.3282,2025-11-21 00:01:15,2025-11-20 22:44:06,5,0,0,1,NA,"Long",2.3282
"35876","XAG_USD",1.7252,2025-11-20 23:59:17,2025-11-20 22:44:07,5,0,0,1,NA,"Long",1.7252
"35958","XAG_USD",-3.0118,2025-11-21 03:31:55,2025-11-20 23:44:07,5,0,0,1,NA,"Long",-3.0118
"35962","XAG_USD",2.3273,2025-11-21 01:50:00,2025-11-20 23:44:08,5,0,0,1,NA,"Long",2.3273
"35966","XAG_USD",1.7321,2025-11-21 00:04:50,2025-11-20 23:44:10,5,0,0,1,NA,"Long",1.7321
"36062","XAG_USD",-2.9755,2025-11-21 03:30:00,2025-11-21 00:44:18,5,0,0,1,NA,"Long",-2.9755
"36066","XAG_USD",-2.991,2025-11-21 03:30:00,2025-11-21 00:44:20,5,0,0,1,NA,"Long",-2.991
"36070","XAG_USD",1.7225,2025-11-21 01:48:29,2025-11-21 00:44:22,5,0,0,1,NA,"Long",1.7225
"36204","XAG_USD",-3.0858,2025-11-21 03:30:00,2025-11-21 01:44:40,5,0,0,1,NA,"Long",-3.0858
"36208","XAG_USD",-3.0578,2025-11-21 03:30:00,2025-11-21 01:44:41,5,0,0,1,NA,"Long",-3.0578
"36212","XAG_USD",1.7138,2025-11-21 01:49:07,2025-11-21 01:44:43,5,0,0,1,NA,"Long",1.7138
"36312","XAG_USD",-3.0144,2025-11-21 03:26:35,2025-11-21 02:44:37,5,0,0,1,NA,"Long",-3.0144
"36316","XAG_USD",-3.0222,2025-11-21 03:26:35,2025-11-21 02:44:38,5,0,0,1,NA,"Long",-3.0222
"36320","XAG_USD",-2.9819,2025-11-21 03:26:43,2025-11-21 02:44:40,5,0,0,1,NA,"Long",-2.9819
"36520","XAG_USD",-2.9807,2025-11-21 04:07:06,2025-11-21 03:44:48,5,0,0,1,NA,"Long",-2.9807
"36524","XAG_USD",-2.9887,2025-11-21 03:59:28,2025-11-21 03:44:50,5,0,0,1,NA,"Long",-2.9887
"36528","XAG_USD",-3.0121,2025-11-21 03:59:28,2025-11-21 03:44:51,5,0,0,1,NA,"Long",-3.0121
"36776","XAG_USD",4.2121,2025-11-21 06:27:17,2025-11-21 04:44:58,5,0,0,1,NA,"Long",4.2121
"36780","XAG_USD",2.3424,2025-11-21 05:04:16,2025-11-21 04:45:00,5,0,0,1,NA,"Long",2.3424
