"id","Asset","realizedPL","date_closed","date_open","initialUnits","financing","dividendAdjustment","account_var","already_in_db","Net_Profit"
"24354","USD_SEK",3.1595,2025-11-10 10:51:13,2025-11-08 01:43:22,-2326,0,0,3,NA,3.1595
"24376","USD_SEK",-3.1723,2025-11-10 10:51:10,2025-11-08 02:44:52,-2326,0,0,3,NA,-3.1723
"24384","USD_SEK",-8.1195,2025-11-10 09:31:44,2025-11-08 03:45:45,-2326,0,0,3,NA,-8.1195
"24392","USD_SEK",-10.793,2025-11-10 09:04:55,2025-11-08 04:44:50,-2326,0,0,3,NA,-10.793
"24400","GBP_CAD",15.3755,2025-11-10 11:01:12,2025-11-08 04:55:05,-3054,0,0,3,NA,15.3755
"24404","GBP_USD",7.1123,2025-11-10 11:01:08,2025-11-08 04:55:07,-2472,0,0,3,NA,7.1123
"24423","USD_SEK",4.3742,2025-11-10 15:54:12,2025-11-10 10:45:45,-2326,0,0,3,NA,4.3742
"24457","NZD_USD",-8.0638,2025-11-10 16:44:30,2025-11-10 11:44:53,-3999,0,0,3,NA,-8.0638
"24471","NZD_USD",-0.3696,2025-11-10 17:53:33,2025-11-10 12:46:21,-3999,0,0,3,NA,-0.3696
"24485","NZD_USD",-3.0161,2025-11-10 18:54:37,2025-11-10 13:45:01,-3999,0,0,3,NA,-3.0161
"24497","NZD_USD",-8.0633,2025-11-10 16:45:31,2025-11-10 14:43:43,-3999,0,0,3,NA,-8.0633
"24509","NZD_USD",-8.0583,2025-11-10 19:36:48,2025-11-10 15:46:53,-3999,0,0,3,NA,-8.0583
"24535","NZD_USD",-8.1128,2025-11-10 20:44:18,2025-11-10 16:46:15,-3999,0,0,3,NA,-8.1128
"24549","NZD_USD",-7.9967,2025-11-10 19:34:52,2025-11-10 17:46:12,-3999,0,0,3,NA,-7.9967
"24557","GBP_CAD",-8.0832,2025-11-10 19:29:50,2025-11-10 17:59:32,-3054,0,0,3,NA,-8.0832
"24561","GBP_USD",-7.9863,2025-11-10 18:34:41,2025-11-10 17:59:34,-2472,0,0,3,NA,-7.9863
"24579","NZD_USD",-8.1128,2025-11-10 20:44:18,2025-11-10 18:47:18,-3999,0,0,3,NA,-8.1128
"24615","NZD_USD",1.7675,2025-11-11 00:53:25,2025-11-10 19:48:21,-3999,0,0,3,NA,1.7675
"24619","GBP_CAD",-0.7716,2025-11-11 00:58:09,2025-11-10 19:56:45,-3054,0,0,3,NA,-0.7716
"24623","GBP_USD",0.1507,2025-11-11 00:58:06,2025-11-10 19:56:47,-2472,0,0,3,NA,0.1507
"24641","NZD_USD",6.0371,2025-11-11 01:54:56,2025-11-10 20:47:38,-3999,0,0,3,NA,6.0371
"24645","GBP_CAD",-8.0747,2025-11-10 23:26:25,2025-11-10 21:00:53,-3054,0,0,3,NA,-8.0747
"24649","GBP_USD",-8.0176,2025-11-11 00:21:22,2025-11-10 21:00:54,-2472,0,0,3,NA,-8.0176
"24661","NZD_USD",9.4034,2025-11-11 02:56:02,2025-11-10 21:47:16,-3999,0,0,3,NA,9.4034
"24673","NZD_USD",4.3942,2025-11-11 03:54:13,2025-11-10 22:47:49,-3999,0,0,3,NA,4.3942
"24677","GBP_CAD",-5.5254,2025-11-11 05:06:48,2025-11-10 22:57:02,-3054,0,0,3,NA,-5.5254
"24681","GBP_USD",-4.2548,2025-11-11 05:06:44,2025-11-10 22:57:03,-2472,0,0,3,NA,-4.2548
"24703","NZD_USD",-3.5651,2025-11-11 04:55:15,2025-11-10 23:47:54,-3999,0,0,3,NA,-3.5651
"24707","GBP_CAD",-3.7837,2025-11-11 05:08:59,2025-11-11 00:01:07,-3054,0,0,3,NA,-3.7837
"24711","GBP_USD",-1.1397,2025-11-11 05:08:55,2025-11-11 00:01:09,-2472,0,0,3,NA,-1.1397
"24727","NZD_USD",-3.7497,2025-11-11 05:56:31,2025-11-11 00:46:05,-3999,0,0,3,NA,-3.7497
"24753","NZD_USD",-5.7163,2025-11-11 06:56:09,2025-11-11 01:47:38,-3999,0,0,3,NA,-5.7163
