"id","Asset","realizedPL","date_closed","date_open","initialUnits","financing","dividendAdjustment","account_var","already_in_db","Net_Profit"
"24031","USB10Y_USD",5.8399,2025-10-14 18:15:08,2025-10-13 23:03:04,14,-0.14,0,1,NA,5.6999
"24035","BTC_USD",-9.2047,2025-10-14 01:30:34,2025-10-14 00:03:17,0.01,0,0,1,NA,-9.2047
"24039","EUR_NZD",-4.0069,2025-10-14 02:19:22,2025-10-14 00:03:19,1080,0,0,1,NA,-4.0069
"24043","JP225Y_JPY",20.3843,2025-10-14 11:21:37,2025-10-14 00:03:21,2,-0.0776,0,1,NA,20.3067
"24047","LTC_USD",-4.0743,2025-10-14 17:33:54,2025-10-14 00:03:23,0.76,-0.0947,0,1,NA,-4.169
"24051","USB10Y_USD",6.5079,2025-10-14 18:15:08,2025-10-14 00:03:25,14,-0.1327,0,1,NA,6.3752
"24059","BTC_USD",-9.0446,2025-10-14 01:20:29,2025-10-14 01:03:23,0.01,0,0,1,NA,-9.0446
"24063","EUR_NZD",11.5064,2025-10-14 18:14:56,2025-10-14 01:03:25,1080,-0.0824,0,1,NA,11.424
"24067","JP225Y_JPY",20.3812,2025-10-14 11:29:41,2025-10-14 01:03:27,2,-0.0776,0,1,NA,20.3036
"24071","LTC_USD",-4.0173,2025-10-14 16:45:11,2025-10-14 01:03:28,0.76,-0.0947,0,1,NA,-4.112
"24083","BTC_USD",-9.4961,2025-10-14 14:00:41,2025-10-14 02:02:48,0.01,-0.9355,0,1,NA,-10.4316
"24087","EUR_NZD",11.1279,2025-10-14 18:14:56,2025-10-14 02:02:50,1080,-0.0824,0,1,NA,11.0455
"24091","JP225Y_JPY",20.3841,2025-10-14 11:24:12,2025-10-14 02:02:52,2,-0.0776,0,1,NA,20.3065
"24095","LTC_USD",-4.0302,2025-10-14 17:44:36,2025-10-14 02:02:54,0.76,-0.0947,0,1,NA,-4.1249
"24107","BTC_USD",-8.8743,2025-10-14 13:18:44,2025-10-14 03:02:42,0.01,-0.9355,0,1,NA,-9.8098
"24111","EUR_NZD",11.4875,2025-10-14 18:14:56,2025-10-14 03:02:44,1080,-0.0824,0,1,NA,11.4051
"24115","JP225Y_JPY",-3.7162,2025-10-14 15:18:20,2025-10-14 03:02:46,2,-0.0776,0,1,NA,-3.7938
"24119","LTC_USD",-4.0861,2025-10-14 17:22:10,2025-10-14 03:02:48,0.76,-0.0947,0,1,NA,-4.1808
"24125","EUR_NZD",12.0647,2025-10-14 18:14:56,2025-10-14 04:02:44,1080,-0.0824,0,1,NA,11.9823
"24129","JP225Y_JPY",-3.8171,2025-10-14 15:17:54,2025-10-14 04:02:45,2,-0.0776,0,1,NA,-3.8947
"24133","LTC_USD",-4.0488,2025-10-14 16:35:55,2025-10-14 04:02:47,0.76,-0.0947,0,1,NA,-4.1435
"24139","JP225Y_JPY",-3.8173,2025-10-14 15:18:10,2025-10-14 05:02:43,2,-0.0776,0,1,NA,-3.8949
"24143","LTC_USD",-4.0196,2025-10-14 15:50:35,2025-10-14 05:02:45,0.76,-0.0947,0,1,NA,-4.1143
"24149","EUR_NZD",11.6862,2025-10-14 18:14:56,2025-10-14 06:02:45,1080,-0.0824,0,1,NA,11.6038
"24153","JP225Y_JPY",-3.7164,2025-10-14 15:18:40,2025-10-14 06:02:47,2,-0.0776,0,1,NA,-3.794
"24159","EUR_NZD",11.3739,2025-10-14 18:14:56,2025-10-14 07:02:39,1080,-0.0824,0,1,NA,11.2915
"24171","EUR_NZD",9.0556,2025-10-14 18:14:56,2025-10-14 11:02:43,1080,0,0,1,NA,9.0556
"24175","JP225Y_JPY",-3.701,2025-10-14 14:47:42,2025-10-14 11:02:45,2,0,0,1,NA,-3.701
"24193","EUR_NZD",10.6075,2025-10-14 18:14:56,2025-10-14 12:02:40,1080,0,0,1,NA,10.6075
"24197","JP225Y_JPY",-3.7005,2025-10-14 14:44:17,2025-10-14 12:02:42,2,0,0,1,NA,-3.7005
"24201","LTC_USD",-4.1077,2025-10-14 15:10:15,2025-10-14 12:02:44,0.76,0,0,1,NA,-4.1077
"24209","EUR_NZD",9.0178,2025-10-14 18:14:56,2025-10-14 13:02:51,1080,0,0,1,NA,9.0178
"24219","BTC_USD",-9.151,2025-10-14 15:50:55,2025-10-14 14:03:26,0.01,0,0,1,NA,-9.151
"24223","EUR_NZD",7.3145,2025-10-14 18:14:56,2025-10-14 14:03:28,1080,0,0,1,NA,7.3145
"24227","JP225Y_JPY",-3.7005,2025-10-14 14:44:51,2025-10-14 14:03:30,2,0,0,1,NA,-3.7005
"24231","LTC_USD",-4.1196,2025-10-14 16:35:56,2025-10-14 14:03:32,0.76,0,0,1,NA,-4.1196
"24241","BTC_USD",-9.731,2025-10-14 15:47:29,2025-10-14 15:02:55,0.01,0,0,1,NA,-9.731
"24245","EUR_NZD",2.9334,2025-10-14 18:14:56,2025-10-14 15:02:56,1080,0,0,1,NA,2.9334
"24249","JP225Y_JPY",-3.7081,2025-10-14 15:09:40,2025-10-14 15:02:58,2,0,0,1,NA,-3.7081
"24253","LTC_USD",-4.0176,2025-10-14 16:41:46,2025-10-14 15:03:00,0.76,0,0,1,NA,-4.0176
"24257","USB10Y_USD",4.159,2025-10-14 18:15:08,2025-10-14 15:03:02,14,-0.0235,0,1,NA,4.1355
"24279","BTC_USD",-9.1124,2025-10-14 16:35:56,2025-10-14 16:02:52,0.01,0,0,1,NA,-9.1124
"24283","EUR_NZD",0.5961,2025-10-14 18:14:56,2025-10-14 16:02:54,1080,0,0,1,NA,0.5961
"24287","JP225Y_JPY",-3.7283,2025-10-14 16:47:29,2025-10-14 16:02:55,2,0,0,1,NA,-3.7283
"24291","LTC_USD",-4.0979,2025-10-14 17:33:56,2025-10-14 16:02:57,0.76,0,0,1,NA,-4.0979
"24295","USB10Y_USD",2.4782,2025-10-14 18:15:08,2025-10-14 16:02:59,14,-0.0161,0,1,NA,2.4621
"24311","BTC_USD",-8.9437,2025-10-14 17:42:34,2025-10-14 17:02:46,0.01,0,0,1,NA,-8.9437
"24315","EUR_NZD",-1.166,2025-10-14 18:14:56,2025-10-14 17:02:48,1080,0,0,1,NA,-1.166
"24319","JP225Y_JPY",-3.7306,2025-10-14 18:06:58,2025-10-14 17:02:50,2,0,0,1,NA,-3.7306
"24323","LTC_USD",-4.1123,2025-10-14 17:46:54,2025-10-14 17:02:51,0.76,0,0,1,NA,-4.1123
